lat,lng,evac_capability,risk_location,result
14.65427642059928,121.0968086052497,21,2,9
14.654775515928684,121.09717275400932,45,2,6
14.654988365061605,121.09704378465698,39,2,6
14.655414062707093,121.09700585249452,47,3,6
14.653557134154129,121.09725620476674,18,3,9
14.653828701762917,121.09648997508505,33,2,9
14.656522084178103,121.09774769861627,62,1,4
14.65543582505668,121.09903739215024,58,1,8
14.653336687435091,121.10292164572773,51,1,7
14.652529321473997,121.10290647286276,54,1,7
14.651288907951718,121.10063054304604,91,1,1
14.651487080993874,121.10032708574636,88,1,1
14.651347625908825,121.09994776412175,89,1,1
14.651046696212395,121.09912084298008,92,1,1
14.658638791393962,121.10010927901952,95,1,0
14.65869552458856,121.09932888990303,15,3,14
14.65890334610041,121.10033548267958,94,1,0
14.658062972816069,121.10035065554314,93,1,0
14.658330865084835,121.10063135354534,93,1,0
14.658481324982516,121.10115481738731,91,1,0
14.658246460706733,121.10108274627864,90,1,0
14.65817306556891,121.10093860406128,92,1,0
14.65656744728534,121.09879024325869,68,2,4
14.65603502232411,121.09961574157269,56,2,8
14.656091756193064,121.09940372834451,59,2,8
14.657187153397544,121.09835268404309,64,2,4
14.657575559873125,121.09815871448879,61,2,4
14.656636673117362,121.10235574755492,29,1,10
14.653919989036726,121.09616368752324,26,3,9
14.654385283241947,121.09872822698327,22,2,13
14.654506387299984,121.0992668636902,25,2,13
14.65420546194136,121.09900513176922,19,2,13
14.654161424043822,121.10039344898341,72,1,3
14.653864168039076,121.10049586580995,74,1,3
14.653930224963403,121.10029861856515,73,1,3
14.653893526674567,121.10013171705033,71,1,3
14.654117386140877,121.10045034721499,75,1,3
14.653471495911159,121.09993826302177,70,1,3
14.653416448350123,121.09909616897187,76,2,2
14.653163229438313,121.09864098302235,78,2,2
14.653489845081467,121.09830338677645,79,2,2
14.655317415814267,121.10018482205751,31,2,12
14.655944951629094,121.09885340315515,57,2,8
14.660945641600255,121.09961040222281,37,2,11
14.661229304438638,121.09908713553199,36,2,11
14.660976189923574,121.10106291838186,67,2,5
14.66035649452619,121.10077421952734,69,2,5
14.660282305523662,121.1009275907988,66,2,5
14.659155785978186,121.10165467526507,96,1,0
